Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
STATE_PROVINCE.PROVINCE_NAME_ZA,"South African province names representing the administrative divisions within South Africa's federal system. These provinces serve as primary territorial units for regional government administration and public service delivery throughout the South African territory.","This type identifies South African province names used for regional administrative identification within South Africa's governmental structure. The format consists of proper noun text strings representing official province names in English without abbreviations or special formatting characters.","This type identifies South African province names used for regional administrative identification within South Africa's governmental structure. The format consists of proper noun text strings representing official province names in English without abbreviations or special formatting characters.","This type follows text patterns like ^[A-Z][a-z]+(\s[A-Z][a-z]+)*(-[A-Z][a-z]+)*$ for South African province names with proper capitalization. The format consists of proper noun text strings representing official province names in English without abbreviations or special formatting characters.","South African territory: provincial administrative division","South African territory: provincial administrative division",Western Cape; Gauteng; KwaZulu-Natal,ZA; South Africa; Province,Province; South African Province; Province Name,Country; District; City
STATE_PROVINCE.PROVINCE_ZA,"A two-letter abbreviation representing one of the nine provinces of South Africa for administrative and postal identification purposes.","This type captures abbreviated codes for South African provinces used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from province names using uppercase letters without periods or additional punctuation.","This type captures abbreviated codes for South African provinces used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from province names using uppercase letters without periods or additional punctuation.","A text field containing South African province codes that follow the pattern ^[A-Z]{2}$ consisting of exactly two uppercase letters. The format represents official provincial abbreviations as used in South African government documentation and postal addressing systems.","sa_province_code: two-letter South African provincial designation","sa_province_code: two-letter South African provincial designation",WC; GT; KZN,Western Cape; South Africa; Province,Province Code; SA Province; Province,Province Name; Country; District
STATE_PROVINCE.REGION_NAME_FR,"The name of one of the administrative regions of France, representing the highest level of territorial subdivision in the French administrative system.","This type captures the official names of French regions as they are used in government documentation and administrative contexts. The values represent complete regional names using proper French spelling, including diacritical marks and standard formatting as established by French territorial administration.","This type captures the official names of French regions as they are used in government documentation and administrative contexts. The values represent complete regional names using proper French spelling, including diacritical marks and standard formatting as established by French territorial administration.","A text field containing French regional names that follow standard French linguistic conventions including proper capitalization and diacritical marks. The format represents official territorial designations as used in French administrative documentation and geographic identification systems.","region_francaise: French territorial administrative designation","region_francaise: French territorial administrative designation",Île-de-France; Provence-Alpes-Côte d'Azur; Nouvelle-Aquitaine,FR; France; Region,Région; Region; French Region,Department; Country; City
STATE_PROVINCE.REGION_NAME_IT,"The name of one of the twenty administrative regions of Italy, representing the primary territorial divisions of the Italian Republic.","This type captures the official names of Italian regions as they are used in government administration and official documentation. The values represent complete regional names using proper Italian spelling and linguistic conventions as established by the Italian constitutional system.","This type captures the official names of Italian regions as they are used in government administration and official documentation. The values represent complete regional names using proper Italian spelling and linguistic conventions as established by the Italian constitutional system.","A text field containing Italian regional names that follow standard Italian linguistic patterns with proper capitalization and spelling. The format represents official territorial designations as used in Italian administrative and legal documentation systems.","regione_italiana: Italian constitutional regional designation","regione_italiana: Italian constitutional regional designation",Lombardia; Lazio; Campania,IT; Italy; Region,Regione; Region; Italian Region,Province; Country; City
STATE_PROVINCE.REGION_NAME_PE,"The name of one of the twenty-five regions of Peru, representing the primary administrative divisions of the Peruvian territory.","This type captures the official names of Peruvian regions as they are used in national administration and geographic identification. The values represent complete regional names using proper Spanish spelling and standard formatting as established by Peruvian territorial organization.","This type captures the official names of Peruvian regions as they are used in national administration and geographic identification. The values represent complete regional names using proper Spanish spelling and standard formatting as established by Peruvian territorial organization.","A text field containing Peruvian regional names that follow Spanish linguistic conventions with proper capitalization and formatting. The format represents official territorial designations as used in Peruvian government documentation and administrative systems.","region_peruana: Peruvian administrative territorial division","region_peruana: Peruvian administrative territorial division",Lima; Arequipa; La Libertad,PE; Peru; Region,Región; Region; Peruvian Region,Province; Country; City
STATE_PROVINCE.REGION_NAME_TZ,"The name of one of the administrative regions of Tanzania, representing the primary territorial divisions of the United Republic of Tanzania.","This type captures the official names of Tanzanian regions as they are used in government administration and official documentation. The values represent complete regional names using standard English or Swahili spelling as established by Tanzanian territorial organization.","This type captures the official names of Tanzanian regions as they are used in government administration and official documentation. The values represent complete regional names using standard English or Swahili spelling as established by Tanzanian territorial organization.","A text field containing Tanzanian regional names that follow standard formatting with proper capitalization and spacing. The format represents official territorial designations as used in Tanzanian government documentation and administrative systems.","mkoa_tanzania: Tanzanian administrative regional designation","mkoa_tanzania: Tanzanian administrative regional designation",Dar es Salaam; Arusha; Mwanza,TZ; Tanzania; Region,Region; Tanzanian Region; Mkoa,Country; District; City
STATE_PROVINCE.STATE_AU,"A standardized abbreviation representing one of the six states or territories of Australia for administrative and postal identification purposes.","This type captures abbreviated codes for Australian states and territories used in official documentation and geographic identification systems. The values represent standardized abbreviations derived from state names using uppercase letters without periods or additional punctuation.","This type captures abbreviated codes for Australian states and territories used in official documentation and geographic identification systems. The values represent standardized abbreviations derived from state names using uppercase letters without periods or additional punctuation.","A text field containing Australian state codes that follow established patterns typically consisting of two or three uppercase letters. The format represents official state abbreviations as used in Australian government documentation and postal addressing systems.","au_state_code: Australian state/territory designation","au_state_code: Australian state/territory designation",NSW; VIC; QLD,New South Wales; Australia; State,State Code; Australian State; State,State Name; Country; Territory
STATE_PROVINCE.STATE_BR,"A two-letter abbreviation representing one of the twenty-six states or the federal district of Brazil for administrative and postal identification.","This type captures abbreviated codes for Brazilian states and the federal district used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from state names using uppercase letters without periods or additional punctuation.","This type captures abbreviated codes for Brazilian states and the federal district used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from state names using uppercase letters without periods or additional punctuation.","A text field containing Brazilian state codes that follow the pattern ^[A-Z]{2}$ consisting of exactly two uppercase letters. The format represents official state abbreviations as used in Brazilian government documentation and postal addressing systems.","br_estado_code: Brazilian state/federal district designation","br_estado_code: Brazilian state/federal district designation",SP; RJ; MG,São Paulo; Brazil; State,Estado; State Code; Brazilian State,State Name; Country; Region
STATE_PROVINCE.STATE_FIPS_US,"A standardized two-digit numerical code assigned by the Federal Information Processing Standards to identify US states and territories for government data processing.","This type captures FIPS state codes used in US federal government databases and statistical reporting systems. The values represent two-digit numerical identifiers assigned to each state and territory using zero-padded format without separators or additional characters.","This type captures FIPS state codes used in US federal government databases and statistical reporting systems. The values represent two-digit numerical identifiers assigned to each state and territory using zero-padded format without separators or additional characters.","A text field containing US state FIPS codes that follow the pattern ^\d{2}$ consisting of exactly two digits with leading zeros when necessary. The format represents federal standard codes as used in government databases and statistical reporting systems.","us_fips_state: two-digit federal state identification code","us_fips_state: two-digit federal state identification code",06; 36; 48,CA; California; State,State FIPS; FIPS Code; State Code,State Name; Country; County FIPS
STATE_PROVINCE.STATE_MX,"A standardized abbreviation representing one of the thirty-two federal entities of Mexico for administrative and postal identification purposes.","This type captures abbreviated codes for Mexican states and federal districts used in official documentation and geographic identification systems. The values represent standardized abbreviations derived from state names using uppercase letters without periods or additional punctuation.","This type captures abbreviated codes for Mexican states and federal districts used in official documentation and geographic identification systems. The values represent standardized abbreviations derived from state names using uppercase letters without periods or additional punctuation.","A text field containing Mexican state codes that typically follow patterns of two or three uppercase letters derived from state names. The format represents official state abbreviations as used in Mexican government documentation and postal addressing systems.","mx_estado_code: Mexican state/federal entity designation","mx_estado_code: Mexican state/federal entity designation",DF; JAL; NL,Ciudad de México; Mexico; State,Estado; State Code; Mexican State,State Name; Country; Municipality
STATE_PROVINCE.STATE_NAME_AU,"The full name of one of the six states or two territories of Australia, representing the complete official designation of Australian administrative divisions.","This type captures the complete names of Australian states and territories as they are used in official documentation and government administration. The values represent full state names using proper English spelling and standard formatting as established by Australian constitutional and administrative systems.","This type captures the complete names of Australian states and territories as they are used in official documentation and government administration. The values represent full state names using proper English spelling and standard formatting as established by Australian constitutional and administrative systems.","A text field containing Australian state names that follow standard English linguistic conventions with proper capitalization and spacing. The format represents official territorial designations as used in Australian government documentation and legal systems.","au_state_name: complete Australian state/territory designation","au_state_name: complete Australian state/territory designation",New South Wales; Victoria; Queensland,NSW; Australia; State,State; Australian State; State Name,State Code; Country; Territory
STATE_PROVINCE.STATE_NAME_BR,"The full name of one of the twenty-six states or the federal district of Brazil, representing the complete official designation of Brazilian federative units.","This type captures the complete names of Brazilian states and the federal district as they are used in official documentation and government administration. The values represent full state names using proper Portuguese spelling including diacritical marks and standard formatting as established by Brazilian constitutional and administrative systems.","This type captures the complete names of Brazilian states and the federal district as they are used in official documentation and government administration. The values represent full state names using proper Portuguese spelling including diacritical marks and standard formatting as established by Brazilian constitutional and administrative systems.","A text field containing Brazilian state names that follow Portuguese linguistic conventions with proper capitalization, spacing, and diacritical marks. The format represents official territorial designations as used in Brazilian government documentation and legal systems.","br_estado_name: complete Brazilian state/federal district name","br_estado_name: complete Brazilian state/federal district name",São Paulo; Rio de Janeiro; Minas Gerais,SP; Brazil; State,Estado; State; Brazilian State,State Code; Country; Region
STATE_PROVINCE.STATE_NAME_DE,"The full name of one of the sixteen federal states of Germany, representing the complete official designation of German Bundesländer.","This type captures the complete names of German federal states as they are used in official documentation and government administration. The values represent full state names using proper German spelling including umlauts and standard formatting as established by the German federal constitutional system.","This type captures the complete names of German federal states as they are used in official documentation and government administration. The values represent full state names using proper German spelling including umlauts and standard formatting as established by the German federal constitutional system.","A text field containing German state names that follow German linguistic conventions with proper capitalization, hyphenation, and special characters. The format represents official federal state designations as used in German government documentation and legal systems.","de_bundesland: complete German federal state name","de_bundesland: complete German federal state name",Bayern; Nordrhein-Westfalen; Baden-Württemberg,DE; Germany; State,Bundesland; State; German State,Country; Region; City
STATE_PROVINCE.STATE_NAME_MX,"The full name of one of the thirty-two federal entities of Mexico, representing the complete official designation of Mexican states and federal districts.","This type captures the complete names of Mexican states and federal entities as they are used in official documentation and government administration. The values represent full state names using proper Spanish spelling including diacritical marks and standard formatting as established by the Mexican federal constitutional system.","This type captures the complete names of Mexican states and federal entities as they are used in official documentation and government administration. The values represent full state names using proper Spanish spelling including diacritical marks and standard formatting as established by the Mexican federal constitutional system.","A text field containing Mexican state names that follow Spanish linguistic conventions with proper capitalization, spacing, and diacritical marks. The format represents official federal entity designations as used in Mexican government documentation and legal systems.","mx_estado_name: complete Mexican state/federal entity name","mx_estado_name: complete Mexican state/federal entity name",Ciudad de México; Jalisco; Nuevo León,DF; Mexico; State,Estado; State; Mexican State,State Code; Country; Municipality
STATE_PROVINCE.STATE_NAME_US,"The full name of one of the fifty states or federal districts of the United States, representing the complete official designation of US administrative divisions.","This type captures the complete names of US states and territories as they are used in official documentation and government administration. The values represent full state names using proper English spelling and standard formatting as established by the US constitutional and administrative systems.","This type captures the complete names of US states and territories as they are used in official documentation and government administration. The values represent full state names using proper English spelling and standard formatting as established by the US constitutional and administrative systems.","A text field containing US state names that follow standard English linguistic conventions with proper capitalization and spacing. The format represents official state designations as used in US government documentation and legal systems.","us_state_name: complete American state designation","us_state_name: complete American state designation",California; New York; Texas,CA; US; State,State; State Name; US State,State Code; Country; County
STATE_PROVINCE.STATE_PROVINCE_NA,"A standardized abbreviation representing administrative divisions from the United States, Canada, or Mexico for North American geographic identification.","This type captures abbreviated codes for states and provinces across North America including US states, Canadian provinces, and Mexican states. The values represent standardized abbreviations using uppercase letters without periods, following each country's official abbreviation conventions.","This type captures abbreviated codes for states and provinces across North America including US states, Canadian provinces, and Mexican states. The values represent standardized abbreviations using uppercase letters without periods, following each country's official abbreviation conventions.","A text field containing North American state/province codes that typically follow patterns of two or three uppercase letters derived from territorial names. The format represents official abbreviations as used across US, Canadian, and Mexican administrative systems.","na_state_province: North American territorial code designation","na_state_province: North American territorial code designation",CA; ON; TX,California; Ontario; State,State Code; Province Code; State/Province,State Name; Province Name; Country
STATE_PROVINCE.STATE_PROVINCE_NAME_NA,"The full name of administrative divisions from the United States, Canada, or Mexico, representing complete territorial designations across North America.","This type captures complete names of states and provinces across North America including US states, Canadian provinces, and Mexican states. The values represent full territorial names using proper spelling and formatting conventions appropriate to each country's linguistic standards.","This type captures complete names of states and provinces across North America including US states, Canadian provinces, and Mexican states. The values represent full territorial names using proper spelling and formatting conventions appropriate to each country's linguistic standards.","A text field containing North American state/province names that follow standard linguistic conventions with proper capitalization and spacing. The format represents official territorial designations as used across US, Canadian, and Mexican government documentation.","na_territory_name: complete North American state/province designation","na_territory_name: complete North American state/province designation",California; Ontario; Texas,CA; ON; State,State; Province; State/Province Name,State Code; Province Code; Country
STATE_PROVINCE.STATE_UNION_IN,"A two-letter abbreviation representing one of the twenty-eight states or eight union territories of India for administrative and postal identification.","This type captures abbreviated codes for Indian states and union territories used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from state names using uppercase letters without periods or additional punctuation.","This type captures abbreviated codes for Indian states and union territories used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from state names using uppercase letters without periods or additional punctuation.","A text field containing Indian state codes that follow the pattern ^[A-Z]{2}$ consisting of exactly two uppercase letters. The format represents official state abbreviations as used in Indian government documentation and postal addressing systems.","in_state_code: Indian state/union territory designation","in_state_code: Indian state/union territory designation",MH; DL; KA,Maharashtra; India; State,State Code; Indian State; Union Territory Code,State Name; Country; District
STATE_PROVINCE.STATE_UNION_NAME_IN,"The full name of one of the twenty-eight states or eight union territories of India, representing the complete official designation of Indian administrative divisions.","This type captures the complete names of Indian states and union territories as they are used in official documentation and government administration. The values represent full state names using proper English spelling and standard formatting as established by the Indian constitutional and administrative systems.","This type captures the complete names of Indian states and union territories as they are used in official documentation and government administration. The values represent full state names using proper English spelling and standard formatting as established by the Indian constitutional and administrative systems.","A text field containing Indian state names that follow standard English linguistic conventions with proper capitalization and spacing. The format represents official state designations as used in Indian government documentation and legal systems.","in_state_name: complete Indian state/union territory name","in_state_name: complete Indian state/union territory name",Maharashtra; Delhi; Karnataka,MH; India; State,State; Indian State; Union Territory,State Code; Country; District
STATE_PROVINCE.STATE_US,"A two-letter abbreviation representing one of the fifty states or federal districts of the United States for administrative and postal identification.","This type captures abbreviated codes for US states and territories used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from state names using uppercase letters without periods or additional punctuation.","This type captures abbreviated codes for US states and territories used in official documentation and geographic identification systems. The values represent standardized two-character abbreviations derived from state names using uppercase letters without periods or additional punctuation.","A text field containing US state codes that follow the pattern ^[A-Z]{2}$ consisting of exactly two uppercase letters. The format represents official state abbreviations as used in US government documentation and postal addressing systems.","us_state_code: American state designation","us_state_code: American state designation",CA; NY; TX,California; US; State,State Code; US State; State,State Name; Country; County
STATE_PROVINCE.SUBURB_AU,"The name of a suburban locality within Australian cities and towns, representing residential and commercial areas for postal and administrative identification.","This type captures Australian suburb names as they are used in postal addressing and geographic identification systems. The values represent locality names using proper English spelling and standard formatting as established by Australian postal and administrative conventions.","This type captures Australian suburb names as they are used in postal addressing and geographic identification systems. The values represent locality names using proper English spelling and standard formatting as established by Australian postal and administrative conventions.","A text field containing Australian suburb names that follow standard English linguistic conventions with proper capitalization and spacing. The format represents official locality designations as used in Australian postal and administrative documentation systems.","au_suburb: Australian residential locality designation","au_suburb: Australian residential locality designation",Bondi; Richmond; Surry Hills,NSW; Australia; Suburb,Suburb; Australian Suburb; Suburb Name,State; City; Postcode
STREET_ADDRESS2_EN,"The second line of a street address containing apartment numbers, suite information, or other specific location details within a building.","This type captures supplementary addressing information that provides additional location specificity beyond the primary street address. The values represent apartment numbers, suite designations, unit identifiers, or floor information using standard English addressing conventions and common abbreviations.","This type captures supplementary addressing information that provides additional location specificity beyond the primary street address. The values represent apartment numbers, suite designations, unit identifiers, or floor information using standard English addressing conventions and common abbreviations.","A text field containing secondary address components that typically include apartment, suite, or unit designations with associated numbers or identifiers. The format follows standard postal addressing conventions with common abbreviations and alphanumeric identifiers.","address_line2: secondary building location identifier","address_line2: secondary building location identifier",Apt 123; Suite 456; Unit 7B,123 Main St; Address; Floor 2,Address Line 2; Apt; Suite,Street Address; City; ZIP Code
STREET_ADDRESS3_EN,"The third line of a street address containing building names, floor numbers, or other detailed location information within a complex.","This type captures additional addressing details that provide further location specificity for complex buildings or facilities. The values represent building names, floor designations, room numbers, or directional information using standard English addressing conventions and common abbreviations.","This type captures additional addressing details that provide further location specificity for complex buildings or facilities. The values represent building names, floor designations, room numbers, or directional information using standard English addressing conventions and common abbreviations.","A text field containing tertiary address components that typically include building identifiers, floor numbers, or room designations with associated alphanumeric codes. The format follows extended postal addressing conventions for complex facilities and multi-building locations.","address_line3: tertiary building location specification","address_line3: tertiary building location specification",Building A; Floor 12; Room 304,123 Main St; Apt 123; Address,Address Line 3; Building; Floor,Street Address; Apt; ZIP Code
STREET_ADDRESS4_EN,"The fourth line of a street address containing wing designations, entrance specifications, or other specialized location details for large facilities.","This type captures specialized addressing information for complex facilities requiring detailed location specifications beyond standard address components. The values represent wing names, entrance types, dock numbers, or other facility-specific identifiers using standard English addressing conventions.","This type captures specialized addressing information for complex facilities requiring detailed location specifications beyond standard address components. The values represent wing names, entrance types, dock numbers, or other facility-specific identifiers using standard English addressing conventions.","A text field containing quaternary address components that typically include wing designations, entrance specifications, or specialized facility identifiers. The format accommodates complex addressing needs for large buildings, campuses, or industrial facilities.","address_line4: specialized facility location designation","address_line4: specialized facility location designation",East Wing; Back Entrance; Loading Dock,123 Main St; Suite 456; Address,Address Line 4; Wing; Entrance,Street Address; Suite; ZIP Code
STREET_ADDRESS_<LANGUAGE>,"A complete street address formatted according to the linguistic and cultural conventions of a specific language and region.","This type captures street addresses as they are formatted in different languages and cultural contexts for postal delivery and location identification. The values represent complete address strings using proper formatting, character sets, and conventions appropriate to the specified language locale.","This type captures street addresses as they are formatted in different languages and cultural contexts for postal delivery and location identification. The values represent complete address strings using proper formatting, character sets, and conventions appropriate to the specified language locale. Examples vary by language: 123 Main Street, Hauptstraße 45.","A text field containing street addresses that follow language-specific formatting patterns and may include special characters, diacritical marks, or alternative numbering systems. The format adapts to local addressing standards and linguistic conventions for the specified language context. Examples vary by language context.","localized_address: language-specific street address formatting","localized_address: language-specific street address formatting",example1; example2; example3,counter_example1; counter_example2; counter_example3,Street Address; Address; Street,City; Country; ZIP Code
STREET_ADDRESS_EN,"A complete street address formatted according to English language conventions, including house number and street name for postal delivery.","This type captures street addresses as they are formatted in English-speaking contexts for postal delivery and location identification. The values represent complete address strings combining house numbers, street names, and street types using standard English formatting and common abbreviations.","This type captures street addresses as they are formatted in English-speaking contexts for postal delivery and location identification. The values represent complete address strings combining house numbers, street names, and street types using standard English formatting and common abbreviations.","A text field containing English street addresses that typically follow patterns combining numeric house numbers with street names and type designators. The format represents standard English postal addressing with consistent component ordering and common abbreviations.","english_street_address: complete English-formatted street location","english_street_address: complete English-formatted street location",123 Main Street; 456 Oak Avenue; 789 Pine Road,New York; 10001; Apt 123,Street Address; Address; Street,City; ZIP Code; Country
STREET_MARKER_EN,"A standardized suffix or type designation that indicates the kind of thoroughfare in English street addressing systems.","This type captures street type indicators used in English-language addressing to classify different kinds of roads and thoroughfares. The values represent standard suffix terms that appear after street names to indicate the road type using common English abbreviations and full forms.","This type captures street type indicators used in English-language addressing to classify different kinds of roads and thoroughfares. The values represent standard suffix terms that appear after street names to indicate the road type using common English abbreviations and full forms.","A text field containing English street type designators that follow established patterns for thoroughfare classification in postal addressing. The format includes standard terms and common abbreviations used to identify road types in English-speaking addressing systems.","street_type: English thoroughfare classification suffix","street_type: English thoroughfare classification suffix",Street; Avenue; Road,123; Main; Address,Street Type; Street Suffix; Street Marker,Street Name; House Number; Address
STREET_NAME_BARE_<LANGUAGE>,"The base name of a street without any type designation or suffix, formatted according to specific language conventions.","This type captures the core identifying portion of street names without street type markers or suffixes in different language contexts. The values represent the primary name component using proper spelling, capitalization, and linguistic conventions appropriate to the specified language locale.","This type captures the core identifying portion of street names without street type markers or suffixes in different language contexts. The values represent the primary name component using proper spelling, capitalization, and linguistic conventions appropriate to the specified language locale. Examples vary by language: Main, König.","A text field containing bare street names that follow language-specific formatting patterns and may include special characters or diacritical marks. The format excludes type designators while maintaining proper linguistic conventions for the specified language context. Examples vary by language context.","bare_street_name: core street identifier without type suffix","bare_street_name: core street identifier without type suffix",example1; example2; example3,counter_example1; counter_example2; counter_example3,Street Name; Straat; Road Name,Street Number; Postcode; City
STREET_NAME_BARE_EN,"The base name of a street in English without any type designation or suffix such as Street, Avenue, or Road.","This type captures the core identifying portion of English street names excluding street type markers or suffixes for addressing and navigation purposes. The values represent the primary name component using proper English spelling and capitalization without type designators like Street or Avenue.","This type captures the core identifying portion of English street names excluding street type markers or suffixes for addressing and navigation purposes. The values represent the primary name component using proper English spelling and capitalization without type designators like Street or Avenue.","A text field containing English street names without type suffixes that follow standard English naming conventions with proper capitalization. The format excludes common street type designators while maintaining the essential identifying portion of the street name.","bare_english_street: core English street name without suffix","bare_english_street: core English street name without suffix",Main; Oak; Pine,Main Street; 123; Avenue,Street Name; Road Name; Street,Street Type; House Number; Full Address
STREET_NAME_EN,"The complete name of a street including both the base name and type designation, formatted according to English language conventions.","This type captures full English street names including both the identifying name and the street type suffix for addressing and navigation purposes. The values represent complete street designations using proper English spelling, capitalization, and standard type markers such as Street, Avenue, or Road.","This type captures full English street names including both the identifying name and the street type suffix for addressing and navigation purposes. The values represent complete street designations using proper English spelling, capitalization, and standard type markers such as Street, Avenue, or Road.","A text field containing complete English street names that follow standard formatting patterns combining the base name with appropriate type suffixes. The format represents standard English street naming conventions used in postal addressing and navigation systems.","complete_street_name: full English street designation with type","complete_street_name: full English street designation with type",Main Street; Oak Avenue; Pine Road,123; Main; Address,Street Name; Road Name; Street,House Number; City; ZIP Code
STREET_NUMBER,"A numeric identifier assigned to buildings and properties along a street for postal delivery and location identification purposes.","This type captures house or building numbers used in street addressing systems to identify specific properties along thoroughfares. The values represent numeric identifiers that may include digits, letters, or combinations thereof following local numbering conventions for property identification.","This type captures house or building numbers used in street addressing systems to identify specific properties along thoroughfares. The values represent numeric identifiers that may include digits, letters, or combinations thereof following local numbering conventions for property identification.","A text field containing street numbers that typically follow numeric patterns but may include letters or special characters depending on local addressing conventions. The format represents property identifiers as used in postal addressing and navigation systems.","house_number: numeric property identifier for street addressing","house_number: numeric property identifier for street addressing",123; 456; 789,Main; Street; Address,House Number; Street Number; Number,Street Name; Address; City
TELEPHONE,"A numeric sequence used to identify and connect to specific telephone lines for voice communication across various telecommunications systems.","This type captures telephone numbers in various formats used for voice communication including landline and mobile numbers. The values represent numeric sequences with optional country codes, area codes, and formatting characters such as parentheses, hyphens, or spaces following international or regional conventions.","This type captures telephone numbers in various formats used for voice communication including landline and mobile numbers. The values represent numeric sequences with optional country codes, area codes, and formatting characters such as parentheses, hyphens, or spaces following international or regional conventions.","A text field containing telephone numbers that may follow various formatting patterns depending on regional conventions and may include country codes, area codes, and separators. The format accommodates international and domestic numbering plans with flexible punctuation and spacing.","phone_number: telecommunications contact identifier","phone_number: telecommunications contact identifier",+1-555-123-4567; (555) 123-4567; 555.123.4567,5551234567890123; Phone; Contact,Phone Number; Telephone; Phone,Email Address; Fax Number; Address
TIMEZONE.IANA,"A standardized time zone identifier from the IANA Time Zone Database used for accurate time representation across different geographic regions.","This type captures IANA time zone identifiers following the Olson database format for precise temporal coordination across global locations. The values represent hierarchical location-based identifiers using continent/city or region/city patterns with underscores replacing spaces in location names.","This type captures IANA time zone identifiers following the Olson database format for precise temporal coordination across global locations. The values represent hierarchical location-based identifiers using continent/city or region/city patterns with underscores replacing spaces in location names.","A text field containing IANA timezone identifiers that follow the pattern of continent/location or region/location with underscores replacing spaces. The format represents standardized timezone designations as maintained by the Internet Assigned Numbers Authority for global time coordination.","iana_timezone: standardized global time zone identifier","iana_timezone: standardized global time zone identifier",America/New_York; Europe/London; Asia/Tokyo,EST; GMT; Timezone,Timezone; Time Zone; IANA Timezone,UTC Offset; Country; City
URI.URL,"A Uniform Resource Locator specifying the address and access method for resources on the internet or other networks following RFC 3986 standards.","This type captures web addresses and resource locators used to identify and access content across networks including websites, files, and services. The values represent complete URL strings including protocol schemes, domain names, paths, and optional parameters following standardized URI formatting conventions.","This type captures web addresses and resource locators used to identify and access content across networks including websites, files, and services. The values represent complete URL strings including protocol schemes, domain names, paths, and optional parameters following standardized URI formatting conventions.","A text field containing URLs that follow RFC 3986 standards with protocol schemes, domain names, and optional paths or parameters. The format represents complete web addresses using standard URI syntax for resource identification and access across internet and network systems.","web_address: complete URL for network resource access","web_address: complete URL for network resource access",https://www.example.com; http://domain.org/path; ftp://ftp.site.com,www.example.com; example; Website,URL; Website; Web Address,Domain Name; Email Address; File Path
VIN,"A unique 17-character alphanumeric code assigned to motor vehicles for identification, tracking, and registration purposes in automotive systems.","This type captures standardized vehicle identification numbers used by automotive manufacturers and regulatory agencies for vehicle tracking and identification. The values represent exactly 17 alphanumeric characters following international VIN standards with specific positional encoding for manufacturer, vehicle characteristics, and serial information.","This type captures standardized vehicle identification numbers used by automotive manufacturers and regulatory agencies for vehicle tracking and identification. The values represent exactly 17 alphanumeric characters following international VIN standards with specific positional encoding for manufacturer, vehicle characteristics, and serial information.","A text field containing vehicle identification numbers that follow the pattern ^[A-HJ-NPR-Z0-9]{17}$ consisting of exactly 17 characters excluding letters I, O, and Q. The format represents standardized automotive identification codes with specific positional meanings for manufacturer, model, and vehicle characteristics.","vehicle_id: 17-character automotive identification code","vehicle_id: 17-character automotive identification code",1HGBH41JXMN109186; JH4TB2H26CC000000; KMHDH4AE1EU000000,ABC123DEF456; Vehicle123; Car ID,VIN; Vehicle ID; VIN Number,License Plate; Model; Make
